,,nb.of.open.flowers.per.floral.unit,nb.of.open.flowers.per.floral.unit,nb.of.open.flowers.per.floral.unit,nb.of.total.flowers.per.floral.unit,nb.of.total.flowers.per.floral.unit,nb.of.total.flowers.per.floral.unit,nb.of.open.flowers.per.m².of.vegetative.cover,nb.of.open.flowers.per.m².of.vegetative.cover,nb.of.open.flowers.per.m².of.vegetative.cover,nb.of.open.flowers.per.m².of.vegetative.cover.at.the.peak.of.flowering.season,nb.of.total.flowers.per.m².of.vegetative.cover,nb.of.total.flowers.per.m².of.vegetative.cover,nb.of.total.flowers.per.m².of.vegetative.cover
species,FU.category,mean,var,n,mean,var,n,mean,var,n,mean,mean,var,n
Heracleum sphondylium,PB,14.67,157.95,15,27.4,38.54,15,10323.56,79707276.12,15,25374.18,41892.08,724883017.3,15
Hyacinthoides non-scripta,single flower,1,0,15,1,0,15,281.83,32433.36,15,611.91,676.92,83668.87,15
Hypericum pulchrum,single flower,1,0,5,1,0,5,5356.8,10234771.2,5,6659.81,16279.2,95134435.2,5
Hypochaeris radicata,single capitulum,57.8,287.51,10,78.2,208.4,10,9770.48,27021297.56,10,15394.08,32735.52,283395970.3,10
Impatiens glandulifera,single flower,1,0,10,1,0,10,58.21,2646.61,10,129.86,540.04,101070.44,10
Iris pseudacorus,single flower,1,0,10,1,0,10,12.1,91.83,10,34.27,99.36,1158.11,10
Knautia arvensis,single capitulum,67.4,514.71,10,68.2,522.18,10,7904.12,26517550.68,10,12714.1,25225.22,141623494.8,10
Lamiastrum galeobdolon,single flower,1,0,10,1,0,10,183.19,30250.32,10,1178.6,2752.74,7720863.73,10
Lamium album,single flower,1,0,10,1,0,10,599.41,22987.42,10,940.33,2896.89,1096024.03,10
Lamium purpureum,single flower,1,0,7,1,0,7,927.77,289741.17,7,1049.73,7281.7,33965485.78,7
Lapsana communis,single capitulum,16.8,60.62,10,19.6,27.38,10,7035.08,20757490.63,10,19988.95,35846.66,500290708.5,10
Lathyrus latifolius,single flower,1,0,5,1,0,5,587.45,13865.82,5,853.2,1025.83,18790.3,5
Lathyrus pratensis,single flower,1,0,10,1,0,10,232.22,33098.11,10,320.02,441.27,41706.26,10
