species,date,hour,location,habitat,FU.category,year,quadrat.no.independency,nb.of.floral.units.in.buds,nb.of.opened.floral.units,nb.of.fruited.floral.units,nb.of.buds.per.opened.floral.unit,nb.of.opened.flowers.per.opened.floral.unit,nb.of.fruited.flowers.per.opened.floral.unit,nb.of.cross.points,vegetative.area,nb.of.opened.flowers.per.fu,nb.of.total.flowers.per.fu,nb.of.opened.flowers,nb.of.total.flowers,nb.of.opened.flowers.per.m2,nb.of.total.flowers.per.m2
Cirsium arvense,14/06/2011,15:00,brandon hill,grassland nature reserve,single capitulum,2011,2,47,3,0,0,140,0,32,0.222222222,140,140,420,7000,1890,31500
Cirsium arvense,14/06/2011,15:00,brandon hill,grassland nature reserve,single capitulum,2011,3,75,25,0,0,150,30,36,0.25,150,180,3750,18000,15000,72000
Cirsium arvense,14/06/2011,15:00,brandon hill,grassland nature reserve,single capitulum,2011,4,60,16,4,0,120,52,26,0.180555556,120,172,1920,13760,10633.84615,76209.23077
Cirsium arvense,14/06/2011,15:00,brandon hill,grassland nature reserve,single capitulum,2011,5,82,38,7,0,80,74,36,0.25,80,154,3040,19558,12160,78232
Cirsium arvense,08/08/2012,10:40,brandon hill,grassland,single capitulum,2012,1,35,13,18,0,64,0,27,0.1875,64,64,832,4224,4437.333333,22528
Cirsium arvense,08/08/2012,10:40,brandon hill,grassland,single capitulum,2012,2,4,0,36,0,0,86,8,0.055555556,0,86,0,3440,0,61920
Cirsium arvense,08/08/2012,10:40,brandon hill,grassland,single capitulum,2012,3,28,4,65,0,0,69,17,0.118055556,0,69,0,6693,0,56693.64706
Cirsium arvense,08/08/2012,10:40,brandon hill,grassland,single capitulum,2012,4,35,9,75,0,0,75,25,0.173611111,0,75,0,8925,0,51408
Cirsium arvense,08/08/2012,10:40,brandon hill,grassland,single capitulum,2012,5,38,12,13,0,89,0,29,0.201388889,89,89,1068,5607,5303.172414,27841.65517
Cirsium palustre,08/07/2011,11:00,ashton court,grassland nature reserve,single capitulum,2011,1,29,5,6,0,68,0,2,0.013888889,68,68,340,2720,24480,195840
Cirsium palustre,08/07/2011,11:00,ashton court,grassland nature reserve,single capitulum,2011,2,27,7,6,0,56,0,3,0.020833333,56,56,392,2240,18816,107520
Cirsium palustre,08/07/2011,11:00,ashton court,grassland nature reserve,single capitulum,2011,3,65,14,4,18,40,0,10,0.069444444,40,58,560,4814,8064,69321.6
Cirsium palustre,08/07/2011,11:00,ashton court,grassland nature reserve,single capitulum,2011,4,51,7,4,12,70,0,2,0.013888889,70,82,490,5084,35280,366048
