species,date,hour,location,habitat,FU.category,year,quadrat.no.independency,nb.of.floral.units.in.buds,nb.of.opened.floral.units,nb.of.fruited.floral.units,nb.of.buds.per.opened.floral.unit,nb.of.opened.flowers.per.opened.floral.unit,nb.of.fruited.flowers.per.opened.floral.unit,nb.of.cross.points,vegetative.area,nb.of.opened.flowers.per.fu,nb.of.total.flowers.per.fu,nb.of.opened.flowers,nb.of.total.flowers,nb.of.opened.flowers.per.m2,nb.of.total.flowers.per.m2
Lathyrus pratensis,21/07/2011,15:00,brandon hill,grassland nature reserve,single flower,2011,1,10,15,0,0,1,0,9,0.0625,1,1,15,25,240,400
Lathyrus pratensis,21/07/2011,15:00,brandon hill,grassland nature reserve,single flower,2011,2,15,4,12,0,1,0,12,0.083333333,1,1,4,31,48,372
Lathyrus pratensis,21/07/2011,15:00,brandon hill,grassland nature reserve,single flower,2011,3,12,25,5,0,1,0,7,0.048611111,1,1,25,42,514.2857143,864
Lathyrus pratensis,21/07/2011,15:00,brandon hill,grassland nature reserve,single flower,2011,4,11,21,10,0,1,0,13,0.090277778,1,1,21,42,232.6153846,465.2307692
Lathyrus pratensis,21/07/2011,15:00,brandon hill,grassland nature reserve,single flower,2011,5,7,48,7,0,1,0,12,0.083333333,1,1,48,62,576,744
Leontodon autumnalis,07/09/2011,11:00,ashton court,grassland nature reserve,single capitulum,2011,1,26,24,24,0,42,0,2,0.013888889,42,42,1008,3108,72576,223776
Leontodon autumnalis,07/09/2011,11:00,ashton court,grassland nature reserve,single capitulum,2011,2,32,24,30,6,30,0,2,0.013888889,30,36,720,3096,51840,222912
Leontodon autumnalis,07/09/2011,11:00,ashton court,grassland nature reserve,single capitulum,2011,3,18,18,37,12,34,0,4,0.027777778,34,46,612,3358,22032,120888
Leontodon autumnalis,07/09/2011,11:00,ashton court,grassland nature reserve,single capitulum,2011,4,23,19,47,8,18,0,2,0.013888889,18,26,342,2314,24624,166608
Leontodon autumnalis,07/09/2011,11:00,ashton court,grassland nature reserve,single capitulum,2011,5,21,19,30,4,32,0,5,0.034722222,32,36,608,2520,17510.4,72576
Leontodon autumnalis,12/09/2011,16:30,brandon hill,grassland park,single capitulum,2011,1,13,9,15,0,60,0,5,0.034722222,60,60,540,2220,15552,63936
Leontodon autumnalis,12/09/2011,16:30,brandon hill,grassland park,single capitulum,2011,2,30,22,50,4,42,0,13,0.090277778,42,46,924,4692,10235.07692,51972.92308
Leontodon autumnalis,12/09/2011,16:30,brandon hill,grassland park,single capitulum,2011,3,28,11,41,10,34,0,8,0.055555556,34,44,374,3520,6732,63360
Leontodon autumnalis,12/09/2011,16:30,brandon hill,grassland park,single capitulum,2011,4,28,26,43,2,34,0,7,0.048611111,34,36,884,3492,18185.14286,71835.42857
Leontodon autumnalis,12/09/2011,16:30,brandon hill,grassland park,single capitulum,2011,5,30,34,36,6,46,0,11,0.076388889,46,52,1564,5200,20474.18182,68072.72727
Leontodon hispidus,22/06/2011,14:00,ashton court,grassland nature reserve,single capitulum,2011,1,0,2,3,6,130,30,4,0.027777778,130,166,260,830,9360,29880
Leontodon hispidus,22/06/2011,14:00,ashton court,grassland nature reserve,single capitulum,2011,2,3,4,13,68,44,0,32,0.222222222,44,112,176,2240,792,10080
Leontodon hispidus,22/06/2011,14:00,ashton court,grassland nature reserve,single capitulum,2011,3,3,12,15,0,64,0,35,0.243055556,64,64,768,1920,3159.771429,7899.428571
Leontodon hispidus,22/06/2011,14:00,ashton court,grassland nature reserve,single capitulum,2011,4,3,7,18,36,64,4,30,0.208333333,64,104,448,2912,2150.4,13977.6
Leontodon hispidus,22/06/2011,14:00,ashton court,grassland nature reserve,single capitulum,2011,5,4,7,5,20,68,0,27,0.1875,68,88,476,1408,2538.666667,7509.333333
Leucanthemum vulgare,20/06/2011,10:30,ashton court,grassland nature reserve,single capitulum,2011,1,0,10,0,36,172,0,3,0.020833333,172,208,1720,2080,82560,99840
Leucanthemum vulgare,20/06/2011,10:30,ashton court,grassland nature reserve,single capitulum,2011,2,0,12,2,30,452,0,6,0.041666667,452,482,5424,6748,130176,161952
Leucanthemum vulgare,20/06/2011,10:30,ashton court,grassland nature reserve,single capitulum,2011,3,0,5,0,38,80,0,2,0.013888889,80,118,400,590,28800,42480
Leucanthemum vulgare,20/06/2011,10:30,ashton court,grassland nature reserve,single capitulum,2011,4,1,33,4,0,54,0,10,0.069444444,54,54,1782,2052,25660.8,29548.8
Leucanthemum vulgare,20/06/2011,10:30,ashton court,grassland nature reserve,single capitulum,2011,5,0,16,0,52,138,0,4,0.027777778,138,190,2208,3040,79488,109440
Leucanthemum vulgare,24/05/2011,15:15,brandon hill,grassland nature reserve,single capitulum,2011,1,2,12,0,130,90,0,2,0.013888889,90,220,1080,3080,77760,221760
Leucanthemum vulgare,24/05/2011,15:15,brandon hill,grassland nature reserve,single capitulum,2011,2,2,5,0,142,50,0,5,0.034722222,50,192,250,1344,7200,38707.2
Leucanthemum vulgare,24/05/2011,15:15,brandon hill,grassland nature reserve,single capitulum,2011,3,1,37,0,220,86,0,10,0.069444444,86,306,3182,11628,45820.8,167443.2
Leucanthemum vulgare,24/05/2011,15:15,brandon hill,grassland nature reserve,single capitulum,2011,4,0,24,0,102,98,0,5,0.034722222,98,200,2352,4800,67737.6,138240
Leucanthemum vulgare,24/05/2011,15:15,brandon hill,grassland nature reserve,single capitulum,2011,5,0,19,0,32,132,0,3,0.020833333,132,164,2508,3116,120384,149568
Ligustrum vulgare,07/07/2011,16:00,brandon hill,hedge park,single panicle,2011,1,4,13,10,180,210,0,21,0.145833333,210,390,2730,10530,18720,72205.71429
Ligustrum vulgare,07/07/2011,16:00,brandon hill,hedge park,single panicle,2011,2,2,4,8,200,60,0,12,0.083333333,60,260,240,3640,2880,43680
Ligustrum vulgare,07/07/2011,16:00,brandon hill,hedge park,single panicle,2011,3,6,17,11,24,80,0,24,0.166666667,80,104,1360,3536,8160,21216
Ligustrum vulgare,07/07/2011,16:00,brandon hill,hedge park,single panicle,2011,4,4,18,10,70,160,0,36,0.25,160,230,2880,7360,11520,29440
Ligustrum vulgare,07/07/2011,16:00,brandon hill,hedge park,single panicle,2011,5,18,44,20,32,56,80,26,0.180555556,56,168,2464,13776,13646.76923,76297.84615
Linaria vulgaris,08/08/2011,11:50,troopers hill,grassland park,single flower,2011,1,37,58,41,0,1,0,6,0.041666667,1,1,58,136,1392,3264
Linaria vulgaris,08/08/2011,11:50,troopers hill,grassland park,single flower,2011,2,22,18,39,0,1,0,4,0.027777778,1,1,18,79,648,2844
Linaria vulgaris,08/08/2011,11:50,troopers hill,grassland park,single flower,2011,3,23,22,41,0,1,0,6,0.041666667,1,1,22,86,528,2064
Linaria vulgaris,08/08/2011,11:50,troopers hill,grassland park,single flower,2011,4,31,52,37,0,1,0,3,0.020833333,1,1,52,120,2496,5760
Linaria vulgaris,08/08/2011,11:50,troopers hill,grassland park,single flower,2011,5,28,22,31,0,1,0,3,0.020833333,1,1,22,81,1056,3888
Lonicera periclymenum,19/08/2011,09:30,monpelier narroways,street,single flower,2011,1,13,17,4,0,1,0,28,0.194444444,1,1,17,34,87.42857143,174.8571429
Lonicera periclymenum,19/08/2011,09:30,monpelier narroways,street,single flower,2011,1,16,2,12,0,1,0,35,0.243055556,1,1,2,30,8.228571429,123.4285714
Lonicera periclymenum,19/08/2011,09:30,monpelier narroways,street,single flower,2011,2,19,15,2,0,1,0,25,0.173611111,1,1,15,36,86.4,207.36
Lonicera periclymenum,19/08/2011,09:30,monpelier narroways,street,single flower,2011,2,28,6,9,0,1,0,28,0.194444444,1,1,6,43,30.85714286,221.1428571
Lonicera periclymenum,19/08/2011,09:30,monpelier narroways,street,single flower,2011,3,14,17,7,0,1,0,19,0.131944444,1,1,17,38,128.8421053,288
Lonicera periclymenum,19/08/2011,09:30,monpelier narroways,street,single flower,2011,3,46,2,11,0,1,0,21,0.145833333,1,1,2,59,13.71428571,404.5714286
Lonicera periclymenum,19/08/2011,09:30,monpelier narroways,street,single flower,2011,4,9,14,11,0,1,0,15,0.104166667,1,1,14,34,134.4,326.4
Lonicera periclymenum,19/08/2011,09:30,monpelier narroways,street,single flower,2011,4,11,3,14,0,1,0,34,0.236111111,1,1,3,28,12.70588235,118.5882353
Lonicera periclymenum,19/08/2011,09:30,monpelier narroways,street,single flower,2011,5,20,26,14,0,1,0,29,0.201388889,1,1,26,60,129.1034483,297.9310345
Lonicera periclymenum,19/08/2011,09:30,monpelier narroways,street,single flower,2011,5,39,4,12,0,1,0,20,0.138888889,1,1,4,55,28.8,396
Lonicera periclymenum,04/07/2011,11:00,troopers hill,dwarf shrub heath,single flower,2011,1,16,5,72,0,1,0,25,0.173611111,1,1,5,93,28.8,535.68
Lonicera periclymenum,04/07/2011,11:00,troopers hill,dwarf shrub heath,single flower,2011,2,5,7,360,0,1,0,32,0.222222222,1,1,7,372,31.5,1674
Lonicera periclymenum,04/07/2011,11:00,troopers hill,dwarf shrub heath,single flower,2011,3,8,4,130,0,1,0,30,0.208333333,1,1,4,142,19.2,681.6
Lonicera periclymenum,04/07/2011,11:00,troopers hill,dwarf shrub heath,single flower,2011,4,4,13,80,0,1,0,35,0.243055556,1,1,13,97,53.48571429,399.0857143
Lonicera periclymenum,04/07/2011,11:00,troopers hill,dwarf shrub heath,single flower,2011,5,9,12,156,0,1,0,23,0.159722222,1,1,12,177,75.13043478,1108.173913
Lotus corniculatus,20/06/2011,10:30,ashton court,grassland nature reserve,single flower,2011,1,6,16,102,0,1,0,15,0.104166667,1,1,16,124,153.6,1190.4
Lotus corniculatus,20/06/2011,10:30,ashton court,grassland nature reserve,single flower,2011,2,21,44,45,0,1,0,10,0.069444444,1,1,44,110,633.6,1584
Lotus corniculatus,20/06/2011,10:30,ashton court,grassland nature reserve,single flower,2011,3,25,56,18,0,1,0,8,0.055555556,1,1,56,99,1008,1782
Lotus corniculatus,20/06/2011,10:30,ashton court,grassland nature reserve,single flower,2011,4,2,18,6,0,1,0,14,0.097222222,1,1,18,26,185.1428571,267.4285714
Lotus corniculatus,20/06/2011,10:30,ashton court,grassland nature reserve,single flower,2011,5,1,13,25,0,1,0,6,0.041666667,1,1,13,39,312,936
Lotus corniculatus,24/05/2011,15:15,brandon hill,grassland nature reserve,single flower,2011,1,10,3,3,0,1,0,7,0.048611111,1,1,3,16,61.71428571,329.1428571
Lotus corniculatus,24/05/2011,15:15,brandon hill,grassland nature reserve,single flower,2011,2,3,21,45,0,1,0,23,0.159722222,1,1,21,69,131.4782609,432
Lotus corniculatus,24/05/2011,15:15,brandon hill,grassland nature reserve,single flower,2011,3,1,10,4,0,1,0,12,0.083333333,1,1,10,15,120,180
Lotus corniculatus,24/05/2011,15:15,brandon hill,grassland nature reserve,single flower,2011,4,4,7,5,0,1,0,3,0.020833333,1,1,7,16,336,768
Lotus corniculatus,24/05/2011,15:15,brandon hill,grassland nature reserve,single flower,2011,5,9,13,13,0,1,0,5,0.034722222,1,1,13,35,374.4,1008
Lotus pedunculatus,29/07/2011,10:00,ashton court,woodland carpark,single flower,2011,1,45,52,61,0,1,0,21,0.145833333,1,1,52,158,356.5714286,1083.428571
Lotus pedunculatus,29/07/2011,10:00,ashton court,woodland carpark,single flower,2011,2,4,21,4,0,1,0,8,0.055555556,1,1,21,29,378,522
Lotus pedunculatus,29/07/2011,10:00,ashton court,woodland carpark,single flower,2011,3,8,38,42,0,1,0,16,0.111111111,1,1,38,88,342,792
Lotus pedunculatus,29/07/2011,10:00,ashton court,woodland carpark,single flower,2011,4,11,62,70,0,1,0,12,0.083333333,1,1,62,143,744,1716
Lotus pedunculatus,29/07/2011,10:00,ashton court,woodland carpark,single flower,2011,5,25,13,41,0,1,0,30,0.208333333,1,1,13,79,62.4,379.2
Lysimachia nemorum,22/08/2012,15:30,southlakes,grass-wetland,single flower,2012,1,0,3,0,0,1,0,10,0.069444444,1,1,3,3,43.2,43.2
Lysimachia nemorum,22/08/2012,15:30,southlakes,grass-wetland,single flower,2012,2,0,1,1,0,1,0,10,0.069444444,1,1,1,2,14.4,28.8
Lysimachia nemorum,22/08/2012,15:30,southlakes,grass-wetland,single flower,2012,3,1,3,2,0,1,0,10,0.069444444,1,1,3,6,43.2,86.4
Lysimachia nemorum,22/08/2012,15:30,southlakes,grass-wetland,single flower,2012,4,1,3,0,0,1,0,8,0.055555556,1,1,3,4,54,72
Lysimachia nemorum,22/08/2012,15:30,southlakes,grass-wetland,single flower,2012,5,5,17,3,0,1,0,16,0.111111111,1,1,17,25,153,225
Lythrum salicaria,08/09/2011,12:00,leigh woods,garden,single flower,2011,1,281,67,48,0,1,0,4,0.027777778,1,1,67,396,2412,14256
Lythrum salicaria,08/09/2011,12:00,leigh woods,garden,single flower,2011,2,123,90,342,0,1,0,10,0.069444444,1,1,90,555,1296,7992
Lythrum salicaria,08/09/2011,12:00,leigh woods,garden,single flower,2011,3,62,18,351,0,1,0,1,0.006944444,1,1,18,431,2592,62064
Lythrum salicaria,08/09/2011,12:00,leigh woods,garden,single flower,2011,4,86,86,796,0,1,0,7,0.048611111,1,1,86,968,1769.142857,19913.14286
Lythrum salicaria,16/08/2011,10:00,river frome,wetland,single flower,2011,1,24,65,31,0,1,0,9,0.0625,1,1,65,120,1040,1920
Lythrum salicaria,16/08/2011,10:00,river frome,wetland,single flower,2011,2,90,80,54,0,1,0,12,0.083333333,1,1,80,224,960,2688
Matricaria discoidea,30/06/2011,14:00,ashton court,woodland carpark,single capitulum,2011,1,61,190,13,0,224,0,10,0.069444444,224,224,42560,59136,612864,851558.4
Matricaria discoidea,30/06/2011,14:00,ashton court,woodland carpark,single capitulum,2011,2,24,56,3,0,174,0,8,0.055555556,174,174,9744,14442,175392,259956
Matricaria discoidea,30/06/2011,14:00,ashton court,woodland carpark,single capitulum,2011,3,15,19,1,100,140,0,5,0.034722222,140,240,2660,8400,76608,241920
Matricaria discoidea,30/06/2011,14:00,ashton court,woodland carpark,single capitulum,2011,4,35,97,3,0,130,112,5,0.034722222,130,242,12610,32670,363168,940896
Matricaria discoidea,30/06/2011,14:00,ashton court,woodland carpark,single capitulum,2011,5,10,137,1,0,172,0,2,0.013888889,172,172,23564,25456,1696608,1832832
Matricaria discoidea,16/08/2011,10:00,river frome,wetland,single capitulum,2011,1,23,21,16,0,330,0,6,0.041666667,330,330,6930,19800,166320,475200
Matricaria discoidea,16/08/2011,10:00,river frome,wetland,single capitulum,2011,2,7,5,18,0,564,0,2,0.013888889,564,564,2820,16920,203040,1218240
Matricaria discoidea,16/08/2011,10:00,river frome,wetland,single capitulum,2011,3,15,12,6,0,380,0,3,0.020833333,380,380,4560,12540,218880,601920
Matricaria discoidea,16/08/2011,10:00,river frome,wetland,single capitulum,2011,4,12,9,17,0,484,0,4,0.027777778,484,484,4356,18392,156816,662112
Matricaria discoidea,16/08/2011,10:00,river frome,wetland,single capitulum,2011,5,3,14,11,0,320,0,2,0.013888889,320,320,4480,8960,322560,645120
Matricaria recutita,05/07/2012,14:30,pill allotments,allotments,single capitulum,2012,1,15,18,12,200,240,0,2,0.013888889,240,440,4320,19800,311040,1425600
Matricaria recutita,05/07/2012,14:30,pill allotments,allotments,single capitulum,2012,2,31,40,14,300,120,0,7,0.048611111,120,420,4800,35700,98742.85714,734400
Matricaria recutita,05/07/2012,14:30,pill allotments,allotments,single capitulum,2012,3,16,12,2,0,208,0,2,0.013888889,208,208,2496,6240,179712,449280
Matricaria recutita,05/07/2012,14:30,pill allotments,allotments,single capitulum,2012,4,9,15,7,220,72,0,1,0.006944444,72,292,1080,9052,155520,1303488
Matricaria recutita,05/07/2012,14:30,pill allotments,allotments,single capitulum,2012,5,44,47,14,312,64,0,7,0.048611111,64,376,3008,39480,61878.85714,812160
Medicago lupulina,20/06/2011,11:30,ashton court,grassland nature reserve,single globular raceme,2011,1,14,17,7,3,27,0,7,0.048611111,27,30,459,1140,9442.285714,23451.42857
Medicago lupulina,20/06/2011,11:30,ashton court,grassland nature reserve,single globular raceme,2011,2,6,10,1,2,23,0,1,0.006944444,23,25,230,425,33120,61200
Medicago lupulina,20/06/2011,11:30,ashton court,grassland nature reserve,single globular raceme,2011,3,9,24,11,8,19,0,3,0.020833333,19,27,456,1188,21888,57024
Medicago lupulina,20/06/2011,11:30,ashton court,grassland nature reserve,single globular raceme,2011,4,12,14,0,4,11,0,3,0.020833333,11,15,154,390,7392,18720
Medicago lupulina,20/06/2011,11:30,ashton court,grassland nature reserve,single globular raceme,2011,5,3,23,2,13,11,0,4,0.027777778,11,24,253,672,9108,24192
Medicago sativa,05/07/2012,13:15,pill allotments,allotments,single flower,2012,1,3672,576,1440,0,1,0,36,0.25,1,1,576,5688,2304,22752
Medicago sativa,05/07/2012,13:15,pill allotments,allotments,single flower,2012,2,4080,640,1600,0,1,0,35,0.243055556,1,1,640,6320,2633.142857,26002.28571
Medicago sativa,05/07/2012,13:15,pill allotments,allotments,single flower,2012,3,1734,272,680,0,1,0,27,0.1875,1,1,272,2686,1450.666667,14325.33333
Medicago sativa,05/07/2012,13:15,pill allotments,allotments,single flower,2012,4,510,80,200,0,1,0,4,0.027777778,1,1,80,790,2880,28440
Medicago sativa,05/07/2012,13:15,pill allotments,allotments,single flower,2012,5,714,112,280,0,1,0,5,0.034722222,1,1,112,1106,3225.6,31852.8
Melilotus officinalis,03/08/2011,14:00,ashton court nature reserve,woodland carpark,single flower,2011,1,180,2100,3000,0,1,0,35,0.243055556,1,1,2100,5280,8640,21723.42857
Melilotus officinalis,03/08/2011,14:00,ashton court nature reserve,woodland carpark,single flower,2011,2,108,2975,4200,0,1,0,35,0.243055556,1,1,2975,7283,12240,29964.34286
Melilotus officinalis,03/08/2011,14:00,ashton court nature reserve,woodland carpark,single flower,2011,3,72,1645,5000,0,1,0,32,0.222222222,1,1,1645,6717,7402.5,30226.5
Melilotus officinalis,03/08/2011,14:00,ashton court nature reserve,woodland carpark,single flower,2011,4,144,910,3000,0,1,0,31,0.215277778,1,1,910,4054,4227.096774,18831.48387
Melilotus officinalis,03/08/2011,14:00,ashton court nature reserve,woodland carpark,single flower,2011,5,192,2520,4680,0,1,0,35,0.243055556,1,1,2520,7392,10368,30412.8
Mercurialis perennis,20/04/2012,07:12,ashton court,grassland,single flower,2012,1,15,130,7,0,1,0,12,0.083333333,1,1,130,152,1560,1824
Mercurialis perennis,20/04/2012,07:12,ashton court,grassland,single flower,2012,2,270,47,5,0,1,0,13,0.090277778,1,1,47,322,520.6153846,3566.769231
Mercurialis perennis,20/04/2012,07:12,ashton court,grassland,single flower,2012,3,325,20,4,0,1,0,3,0.020833333,1,1,20,349,960,16752
Mercurialis perennis,20/04/2012,07:12,ashton court,grassland,single flower,2012,4,504,68,12,0,1,0,6,0.041666667,1,1,68,584,1632,14016
Mercurialis perennis,20/04/2012,07:12,ashton court,grassland,single flower,2012,5,45,8,2,0,1,0,13,0.090277778,1,1,8,55,88.61538462,609.2307692
Mercurialis perennis,13/04/2012,NA,leigh woods,woodland,single flower,2012,1,352,60,6,0,1,0,25,0.173611111,1,1,60,418,345.6,2407.68
Mercurialis perennis,13/04/2012,NA,leigh woods,woodland,single flower,2012,2,418,72,9,0,1,0,18,0.125,1,1,72,499,576,3992
Mercurialis perennis,13/04/2012,NA,leigh woods,woodland,single flower,2012,3,374,60,8,0,1,0,26,0.180555556,1,1,60,442,332.3076923,2448
Mercurialis perennis,13/04/2012,NA,leigh woods,woodland,single flower,2012,4,319,44,4,0,1,0,20,0.138888889,1,1,44,367,316.8,2642.4
Mercurialis perennis,13/04/2012,NA,leigh woods,woodland,single flower,2012,5,220,24,4,0,1,0,12,0.083333333,1,1,24,248,288,2976
Myosotis arvensis,11/04/2012,10:00,brandon hill,grassland,single flower,2012,1,70,300,55,0,1,0,14,0.097222222,1,1,300,425,3085.714286,4371.428571
Myosotis arvensis,11/04/2012,10:00,brandon hill,grassland,single flower,2012,2,518,860,275,0,1,0,30,0.208333333,1,1,860,1653,4128,7934.4
Myosotis arvensis,11/04/2012,10:00,brandon hill,grassland,single flower,2012,3,224,240,100,0,1,0,28,0.194444444,1,1,240,564,1234.285714,2900.571429
Myosotis arvensis,11/04/2012,10:00,brandon hill,grassland,single flower,2012,4,126,190,80,0,1,0,14,0.097222222,1,1,190,396,1954.285714,4073.142857
Myosotis arvensis,11/04/2012,10:00,brandon hill,grassland,single flower,2012,5,332,240,55,0,1,0,10,0.069444444,1,1,240,627,3456,9028.8
Myosotis arvensis,17/04/2012,NA,leigh woods,woodland,single flower,2012,1,711,415,144,0,1,0,21,0.145833333,1,1,415,1270,2845.714286,8708.571429
Myosotis arvensis,17/04/2012,NA,leigh woods,woodland,single flower,2012,2,738,500,240,0,1,0,23,0.159722222,1,1,500,1478,3130.434783,9253.565217
Myosotis arvensis,17/04/2012,NA,leigh woods,woodland,single flower,2012,3,639,455,192,0,1,0,19,0.131944444,1,1,455,1286,3448.421053,9746.526316
Myosotis arvensis,17/04/2012,NA,leigh woods,woodland,single flower,2012,4,1890,1300,840,0,1,0,34,0.236111111,1,1,1300,4030,5505.882353,17068.23529
Myosotis arvensis,17/04/2012,NA,leigh woods,woodland,single flower,2012,5,900,460,312,0,1,0,23,0.159722222,1,1,460,1672,2880,10468.17391
Narthecium ossifragum,29/08/2012,12:05,cleddon bog,bog,single flower,2012,1,0,4,247,0,1,0,1,0.006944444,1,1,4,251,576,36144
Narthecium ossifragum,29/08/2012,12:05,cleddon bog,bog,single flower,2012,2,0,3,468,0,1,0,3,0.020833333,1,1,3,471,144,22608
Narthecium ossifragum,29/08/2012,12:05,cleddon bog,bog,single flower,2012,3,11,8,162,0,1,0,1,0.006944444,1,1,8,181,1152,26064
Narthecium ossifragum,29/08/2012,12:05,cleddon bog,bog,single flower,2012,4,0,7,306,0,1,0,3,0.020833333,1,1,7,313,336,15024
Narthecium ossifragum,29/08/2012,12:05,cleddon bog,bog,single flower,2012,5,0,11,170,0,1,0,2,0.013888889,1,1,11,181,792,13032
Odontites vernus,06/09/2011,14:00,ashton court,grassland nature reserve,single flower,2011,1,15,10,306,0,1,0,4,0.027777778,1,1,10,331,360,11916
Odontites vernus,06/09/2011,14:00,ashton court,grassland nature reserve,single flower,2011,2,28,46,131,0,1,0,2,0.013888889,1,1,46,205,3312,14760
Odontites vernus,06/09/2011,14:00,ashton court,grassland nature reserve,single flower,2011,3,9,27,84,0,1,0,1,0.006944444,1,1,27,120,3888,17280
Odontites vernus,06/09/2011,14:00,ashton court,grassland nature reserve,single flower,2011,4,3,13,243,0,1,0,3,0.020833333,1,1,13,259,624,12432
Odontites vernus,06/09/2011,14:00,ashton court,grassland nature reserve,single flower,2011,5,51,33,443,0,1,0,6,0.041666667,1,1,33,527,792,12648
Origanum vulgare,05/09/2012,11:00,doleburry warren,grassland,single flower,2012,1,272,296,4,0,1,0,15,0.104166667,1,1,296,572,2841.6,5491.2
Origanum vulgare,05/09/2012,11:00,doleburry warren,grassland,single flower,2012,2,1856,550,7,0,1,0,16,0.111111111,1,1,550,2413,4950,21717
Origanum vulgare,05/09/2012,11:00,doleburry warren,grassland,single flower,2012,3,1287,840,2,0,1,0,10,0.069444444,1,1,840,2129,12096,30657.6
Origanum vulgare,05/09/2012,11:00,doleburry warren,grassland,single flower,2012,4,798,270,2,0,1,0,6,0.041666667,1,1,270,1070,6480,25680
Origanum vulgare,05/09/2012,11:00,doleburry warren,grassland,single flower,2012,5,4560,243,6,0,1,0,4,0.027777778,1,1,243,4809,8748,173124
Origanum vulgare,03/09/2012,11:30,pill allotments,allotments,single flower,2012,1,14,1105,5,0,1,0,7,0.048611111,1,1,1105,1124,22731.42857,23122.28571
Origanum vulgare,03/09/2012,11:30,pill allotments,allotments,single flower,2012,2,19,3080,5,0,1,0,8,0.055555556,1,1,3080,3104,55440,55872
Oxalis acetosella,23/04/2012,16:00,paradise bottom,wetland,single flower,2012,1,7,7,0,0,1,0,3,0.020833333,1,1,7,14,336,672
Oxalis acetosella,23/04/2012,16:00,paradise bottom,wetland,single flower,2012,2,2,1,2,0,1,0,2,0.013888889,1,1,1,5,72,360
Oxalis acetosella,23/04/2012,16:00,paradise bottom,wetland,single flower,2012,3,2,0,0,0,1,0,1,0.006944444,1,1,0,2,0,288
Oxalis acetosella,23/04/2012,16:00,paradise bottom,wetland,single flower,2012,4,0,2,1,0,1,0,3,0.020833333,1,1,2,3,96,144
Oxalis acetosella,23/04/2012,16:00,paradise bottom,wetland,single flower,2012,5,1,1,0,0,1,0,1,0.006944444,1,1,1,2,144,288
Oxalis acetosella,15/04/2012,15:00,river frome,wetland,single flower,2012,1,3,1,0,0,1,0,11,0.076388889,1,1,1,4,13.09090909,52.36363636
Oxalis acetosella,15/04/2012,15:00,river frome,wetland,single flower,2012,2,2,13,1,0,1,0,20,0.138888889,1,1,13,16,93.6,115.2
Oxalis acetosella,15/04/2012,15:00,river frome,wetland,single flower,2012,3,2,3,2,0,1,0,24,0.166666667,1,1,3,7,18,42
Oxalis acetosella,15/04/2012,15:00,river frome,wetland,single flower,2012,4,0,2,3,0,1,0,20,0.138888889,1,1,2,5,14.4,36
Papaver rhoeas,23/09/2011,11:00,abbots leigh,wasteland,single flower,2011,1,11,3,3,0,1,0,7,0.048611111,1,1,3,17,61.71428571,349.7142857
Papaver rhoeas,23/09/2011,11:00,abbots leigh,wasteland,single flower,2011,2,10,2,0,0,1,0,3,0.020833333,1,1,2,12,96,576
Papaver rhoeas,23/09/2011,11:00,abbots leigh,wasteland,single flower,2011,3,23,2,4,0,1,0,6,0.041666667,1,1,2,29,48,696
Papaver rhoeas,23/09/2011,11:00,abbots leigh,wasteland,single flower,2011,4,16,3,13,0,1,0,12,0.083333333,1,1,3,32,36,384
Papaver rhoeas,23/09/2011,11:00,abbots leigh,wasteland,single flower,2011,5,26,5,3,0,1,0,19,0.131944444,1,1,5,34,37.89473684,257.6842105
Papaver rhoeas,05/07/2012,13:15,pill allotments,allotments,single flower,2012,1,16,1,6,0,1,0,6,0.041666667,1,1,1,23,24,552
Papaver rhoeas,05/07/2012,13:15,pill allotments,allotments,single flower,2012,2,4,2,3,0,1,0,3,0.020833333,1,1,2,9,96,432
Papaver rhoeas,05/07/2012,13:15,pill allotments,allotments,single flower,2012,3,69,13,14,0,1,0,27,0.1875,1,1,13,96,69.33333333,512
Papaver rhoeas,05/07/2012,13:15,pill allotments,allotments,single flower,2012,4,77,12,37,0,1,0,32,0.222222222,1,1,12,126,54,567
Papaver rhoeas,31/07/2012,14:50,weston super mare,coastal grassland,single flower,2012,1,3,1,16,0,1,0,2,0.013888889,1,1,1,20,72,1440
Papaver rhoeas,31/07/2012,14:50,weston super mare,coastal grassland,single flower,2012,2,11,0,33,0,1,0,6,0.041666667,1,1,0,44,0,1056
Papaver rhoeas,31/07/2012,14:50,weston super mare,coastal grassland,single flower,2012,3,9,1,27,0,1,0,2,0.013888889,1,1,1,37,72,2664
Papaver rhoeas,31/07/2012,14:50,weston super mare,coastal grassland,single flower,2012,4,23,3,62,0,1,0,11,0.076388889,1,1,3,88,39.27272727,1152
Papaver rhoeas,31/07/2012,14:50,weston super mare,coastal grassland,single flower,2012,5,28,2,15,0,1,0,6,0.041666667,1,1,2,45,48,1080
Pastinaca sativa,25/09/2012,NA,st werberghs1,allotments,secondary umbel,2012,1,31,21,26,0,6,0,21,0.145833333,6,6,126,468,864,3209.142857
Pastinaca sativa,25/09/2012,NA,st werberghs1,allotments,secondary umbel,2012,2,0,13,54,0,3,4,7,0.048611111,3,7,39,469,802.2857143,9648
Pastinaca sativa,25/09/2012,NA,st werberghs1,allotments,secondary umbel,2012,3,22,3,2,2,5,0,6,0.041666667,5,7,15,189,360,4536
