POT_NUMBER,GLYCENE_LABELLED,WATER_TREATMENT,BLOCK,ONYCH,SCHEL,ISOT,MESA,PLATY,PSEU,HYPO,FOLS,PRED,PERCENT_RLC,CUT1_SHOOT_181201,CUT2_SHOOT_140202,CUT3_SHOOT_080402,ROOT,MBC,MBN,AMMONIA,NITRATE,PHOSPHATE,ROOT_PERCENT_TOTAL_N,ROOT_D15N,ROOT_PERCENT_TOTAL_C,ROOT_D13C,SHOOT_PERCENT_TOTAL_N,SHOOT_D15N,PERCENT_SOIL_TOTAL_N,SOIL_D15N,MGN_UNFUMIGATED_SAMPLE,D15N_UNFUMIGATED_SAMPLE,MGN_FUMIGATED_SAMPLE,D15N_FUMIGATED_SAMPLE
143,Labelled,drought,1,1,1,1,0,0,0,0,0,1,6,0.13,0.15,0.25,0.38,1.02,0.20,2.43,4.58,2.91,0.72,332.98,46.99,-26.69,1.35,246.67,0.72,16.63,60.9945,18.12,116.328944,156.22
144,Labelled,drought,2,1,1,1,0,0,0,0,0,1,17,0.10,0.19,0.83,0.44,1.84,0.26,1.94,8.12,5.63,0.91,201.80,46.19,-26.57,1.65,124.15,0.74,11.32,84.5063,39.68,195.4743008,122.04
145,Labelled,water,3,1,1,1,0,0,0,0,0,1,21,0.23,0.20,0.54,0.88,1.82,0.06,1.56,2.97,0.00,0.81,178.31,41.51,-28.67,1.51,234.1,0.72,14.85,20.508,42.13,234.6010128,133.51
146,Labelled,water,4,1,1,1,0,0,0,0,0,1,14,0.05,0.09,0.99,0.59,0.89,0.31,1.80,3.23,12.68,0.97,202.42,45.43,-26.22,1.71,130.27,0.72,14.07,77.753,30.39,110.8895789,59.61
147,Labelled,water,1,1,1,1,0,0,0,0,0,1,17,0.10,0.19,0.87,0.87,2.12,0.17,1.47,2.86,0.00,0.64,272.66,44.68,-27.58,1.17,301.46,0.80,17.05,71.6343,60.07,126.1233047,200.92
148,Labelled,water,2,1,1,1,0,0,0,0,0,1,24,0.09,0.13,1.14,0.88,2.85,0.14,1.30,3.20,5.72,0.84,154.00,39.18,-26.87,1.38,131.72,0.66,11.47,96.6361,22.26,129.8840693,97.93
149,control,water,3,1,1,1,0,0,0,0,0,1,21,0.12,0.15,0.70,0.77,1.38,0.21,2.46,6.34,2.78,0.66,3.38,43.23,-27.89,1.40,6.85,0.73,3.22,52.3444,1.65,85.41177592,5.21
150,control,drought,4,1,1,1,0,0,0,0,0,1,12,0.06,0.07,0.73,0.50,1.49,0.17,2.12,2.45,3.87,0.99,5.84,46.13,-28.12,2.12,10.02,0.65,3.78,81.2091,1.45,172.6213284,4.05
151,Labelled,drought,2,0,0,0,0,1,1,1,1,0,14,0.09,0.20,0.43,0.54,1.42,0.16,2.33,3.81,3.34,0.77,185.72,43.39,-27.28,1.39,133.78,0.69,8.93,69.8713,22.32,143.6922612,402.87
152,Labelled,drought,3,0,0,0,0,1,1,1,1,0,13,0.13,0.16,0.89,0.86,1.85,0.21,1.85,3.78,3.44,0.69,182.43,41.02,-26.07,1.38,115.14,0.68,11.84,84.0109,35.29,199.5059816,108.74
